,user_id,data,label
23,1464,"- Birth control should be an OTC drug- access to it in Kentucky and in Bowling Green is limited for many women.
- Sex education should include information about consent, safe sex practices, and STD spread and prevention.
- In order to combat teen pregnancy and STD rates, high schools in Bowling Green should offer comprehensive, medically accurate sex education.",sex_ed_lessons
24,1457,"- Promote access to mental health treatment, rather than treating addicts as criminals.
- Schools should offer more comprehensive sexual education to help lower STD and teen pregnancy rates.",sex_ed_lessons
25,1465,- City schools should be redistricted to more evenly distribute the kids.,school_options/access
26,1371,- A way to improve Bowling Green and the surrounding areas is to improve traffic flow & circulation by limiting the number of traffic lights.,traffic
27,1356,"- Arts education should be available in every school in Warren County and other surrounding areas.
- Resources to better integrate immigrants and refugees into the community should be put into place.",art__migration_concerns
28,1344,"- Public school systems need to provide more funding for art education programs, such as music, theater, and visual arts.",art
29,493,"- Local fuel prices need to investigated.
- Refugees should be required to learn and speak english.
- WKU should consider building a parking structure at the Chestnut St lot.
- The Bowling Green/Warren County Airport needs to be relocated outside of the city limits.
- The Barren River water front needs to be improved on both sides of the river and include  canoeing and kayaking water features in the river.
- Bowling Green is in need of an ice rink for recreation and sport.
- Traffic congestion on Fairview Ave and Cemetery Rd needs to be improved during evening rush hours.",traffic__migration_concerns
30,411,- Many drivers fail to stop as traffic lights turn red.  As many as 3 cars will travel through an intersection after light has changed to red.,enforce_traffic_rules
31,323,"- Busy roads like the by pass either need turn lanes or block left hand turns except at stop lights.
- I would love to see a Texas Roadhouse in Bowling Green
- We need to grow the internet infrastructure particularly in growing areas of the county like Alvaton.
- We need to block left turns on the busy parts of the by-pass so people don't block everyone else trying to turn.
- The WKU Nursing Program should be expanded so we have more nurses",internet
32,329,"- Bowling Green has many excellent non-public schools; more should be done to make these options available to diverse and low-income families.
- The Fairness Ordinance, as currently proposed, poses insufficient protection for religious conscience and should be revised accordingly.",school_options/access
33,189,- Internet services should be a public municipality.,internet
34,314,"- Bowling Green's refugee, immigrant, and international student population improves the university and the community.
- Stronger tenant and renters rights. Landlord accountability for keeping properties in good shape. So many overpriced dilapidated rentals.",immigrants_pro
35,282,- Refugees and immigrants are welcome next door.,immigrants_pro
36,274,"- Refugee neighbors enrich our city's landscape and we should find more ways to welcome and integrate them into the life of the city.
- The arts enrich our city.
- The university and city should develop stronger mutually beneficial partnerships.
- It would be great if people in neighborhoods could get to know each other better and neighborhoods were like small communities of neighbors.
- People in Bowling Green should not be discriminated against based on their sexual orientation.",art__immigrants_pro
37,198,"- With a circle, widen Fairview with a left-turn lane west of cemetery.
- Only a traffic circle at Kereiakes Park on Fairview Ave. is required.
- New developments should not be approved unless roads and infrastructure capable of handling them are in place.",traffic
38,161,"- Local government, for profit and non profits should work together on housing and economic equality
- Minimum wage required for businesses to receive tax credits should be raised to a living wage
- City/County schools should have a minimum one year classroom for immigrant and refugee students so they can learn english, culture and laws",migration_concerns
39,85,- Something needs to be done to improve traffic flow,traffic
40,67,"- More choices when it comes to internet.  BGMU has been offering service to businesses for a while, they should expand to offer to residents.",internet
